iter	Passed	Remaining
0	1	1753
1	3	1731
2	4	1660
3	6	1629
4	8	1617
5	9	1642
6	11	1642
7	13	1666
8	14	1643
9	16	1624
10	18	1620
11	19	1592
12	20	1571
13	22	1570
14	23	1565
15	25	1558
16	26	1550
17	28	1555
18	30	1594
19	32	1585
20	33	1576
21	35	1563
22	36	1551
23	38	1549
24	39	1542
25	41	1536
26	42	1524
27	43	1526
28	45	1520
29	46	1514
30	48	1507
31	49	1499
32	50	1492
33	52	1505
34	55	1517
35	56	1516
36	58	1525
37	60	1525
38	61	1523
39	63	1523
40	64	1519
41	66	1515
42	68	1516
43	69	1510
44	71	1510
45	72	1509
46	74	1510
47	76	1510
48	77	1512
49	79	1512
50	81	1511
51	83	1514
52	84	1513
53	86	1507
54	87	1506
55	89	1504
56	90	1500
57	92	1500
58	93	1499
59	95	1497
60	97	1493
61	98	1488
62	100	1487
63	101	1487
64	103	1485
65	104	1484
66	106	1485
67	107	1473
68	109	1472
69	110	1471
70	112	1470
71	114	1470
72	115	1468
73	117	1466
74	118	1464
75	120	1465
76	122	1465
77	123	1462
78	125	1461
79	126	1460
80	128	1458
81	130	1456
82	131	1453
83	133	1453
84	134	1448
85	136	1447
86	137	1440
87	139	1440
88	140	1439
89	142	1438
90	143	1435
91	145	1433
92	146	1431
93	148	1431
94	150	1433
95	152	1433
96	153	1432
97	155	1432
98	157	1431
99	159	1431
100	160	1429
101	161	1422
102	163	1420
103	164	1420
104	166	1420
105	168	1418
106	169	1416
107	171	1412
108	172	1412
109	174	1411
110	176	1410
111	177	1408
112	179	1407
113	181	1407
114	182	1405
115	183	1401
116	185	1400
117	187	1398
118	188	1395
119	190	1393
120	191	1393
121	193	1390
122	194	1384
123	195	1382
124	197	1381
125	199	1382
126	200	1380
127	201	1373
128	203	1371
129	204	1370
130	206	1369
131	208	1368
132	209	1365
133	211	1365
134	212	1364
135	215	1366
136	216	1364
137	217	1360
138	219	1358
139	220	1357
140	222	1356
141	224	1356
142	226	1355
143	227	1354
144	229	1352
145	231	1351
146	232	1350
147	234	1349
148	235	1347
149	237	1346
150	239	1345
151	240	1344
152	242	1343
153	244	1341
154	245	1339
155	247	1338
156	248	1336
157	250	1335
158	252	1333
159	253	1332
160	255	1331
161	257	1330
162	258	1328
163	260	1326
164	261	1324
165	263	1322
166	264	1321
167	266	1319
168	268	1318
169	269	1316
170	271	1316
171	273	1314
172	274	1313
173	276	1311
174	277	1309
175	279	1308
176	281	1307
177	282	1305
178	284	1304
179	285	1302
180	286	1297
181	288	1295
182	289	1293
183	291	1292
184	293	1291
